,id,tissue_context,compare_variable,comparison_type,group_1,group_2,subset_condition,correct_for,formula
0,0,PBMCs,severity_stage_detail2,1-vs-1,SARS_CoV_2_Asymptomatic,Healthy,"tissue == 'PBMCs' and pathogen in ['SARS_CoV_2', 'Healthy']","['study', 'modalities', 'isolation']",~ study + modalities + isolation + severity_stage_detail2
1,1,PBMCs,severity_stage_detail2,1-vs-1,SARS_CoV_2_Mild,Healthy,"tissue == 'PBMCs' and pathogen in ['SARS_CoV_2', 'Healthy']","['study', 'modalities', 'isolation']",~ study + modalities + isolation + severity_stage_detail2
2,2,PBMCs,severity_stage_detail2,1-vs-1,SARS_CoV_2_Moderate,Healthy,"tissue == 'PBMCs' and pathogen in ['SARS_CoV_2', 'Healthy']","['study', 'modalities', 'isolation']",~ study + modalities + isolation + severity_stage_detail2
3,3,PBMCs,severity_stage_detail2,1-vs-1,SARS_CoV_2_Severe,Healthy,"tissue == 'PBMCs' and pathogen in ['SARS_CoV_2', 'Healthy']","['study', 'modalities', 'isolation']",~ study + modalities + isolation + severity_stage_detail2
4,4,PBMCs,severity_stage_detail2,1-vs-1,SARS_CoV_2_Critical,Healthy,"tissue == 'PBMCs' and pathogen in ['SARS_CoV_2', 'Healthy']","['study', 'modalities', 'isolation']",~ study + modalities + isolation + severity_stage_detail2
5,5,PBMCs,severity_stage_detail2,1-vs-1,Dengue_Asymptomatic,Healthy,"tissue == 'PBMCs' and pathogen in ['Dengue_virus', 'Healthy']","['study', 'modalities', 'isolation']",~ study + modalities + isolation + severity_stage_detail2
6,6,PBMCs,severity_stage_detail2,1-vs-1,Dengue_fever,Healthy,"tissue == 'PBMCs' and pathogen in ['Dengue_virus', 'Healthy']","['study', 'modalities', 'isolation']",~ study + modalities + isolation + severity_stage_detail2
7,7,PBMCs,severity_stage_detail2,1-vs-1,Dengue_hemorrhagic_fever,Healthy,"tissue == 'PBMCs' and pathogen in ['Dengue_virus', 'Healthy']","['study', 'modalities', 'isolation']",~ study + modalities + isolation + severity_stage_detail2
8,8,PBMCs,severity_stage_detail2,1-vs-1,HBV_chronic_treated,Healthy,"tissue == 'PBMCs' and pathogen in ['HBV', 'Healthy']","['study', 'modalities', 'isolation']",~ study + modalities + isolation + severity_stage_detail2
9,9,PBMCs,severity_stage_detail2,1-vs-1,HBV_chronic_untreated,Healthy,"tissue == 'PBMCs' and pathogen in ['HBV', 'Healthy']","['study', 'modalities', 'isolation']",~ study + modalities + isolation + severity_stage_detail2
10,10,PBMCs,severity_stage_detail2,1-vs-1,HBV_chronic_IT,Healthy,"tissue == 'PBMCs' and pathogen in ['HBV', 'Healthy']","['study', 'modalities', 'isolation']",~ study + modalities + isolation + severity_stage_detail2
11,11,PBMCs,severity_stage_detail2,1-vs-1,HBV_chronic_IA,Healthy,"tissue == 'PBMCs' and pathogen in ['HBV', 'Healthy']","['study', 'modalities', 'isolation']",~ study + modalities + isolation + severity_stage_detail2
